,clock,job_id,tipo,instante
277,150,2,LiberaMem,0
278,150,1,SaidaSis,0
279,150,2,SaidaSis,0
280,220,3,Chegada,220
281,220,3,Ingresso,0
282,220,3,ReqDisp,0
283,220,3,ReqMem,0
284,220,3,ReqProcess,0
285,220,3,Executando,0
286,221,3,Executando,221
287,222,3,Executando,222
288,223,3,Executando,223
289,224,3,Executando,224
290,225,3,Executando,225
291,226,3,Executando,226
292,227,3,Executando,227
293,228,3,Executando,228
294,229,3,Executando,229
295,230,3,Executando,230
296,231,3,Executando,231
297,232,3,Executando,232
298,233,3,Executando,233
299,234,3,Executando,234
300,235,3,Executando,235
301,236,3,Executando,236
302,237,3,Executando,237
303,238,3,Executando,238
304,239,3,Executando,239
305,240,3,Executando,240
306,240,4,Chegada,240
307,240,4,Ingresso,0
308,240,4,ReqDisp,0
309,240,4,ReqMem,0
310,240,4,ReqProcess,0
311,240,4,Executando,0
312,241,3,Executando,241
313,241,4,Executando,241
314,242,3,Executando,242
315,242,4,Executando,242
316,243,3,Executando,243
317,243,4,Executando,243
318,244,3,Executando,244
319,244,4,Executando,244
320,245,3,Executando,245
321,245,4,Executando,245
322,246,3,Executando,246
